user_id,token,role
k6_bidder_100_0,pts_9afdc007c33eb533e73dd475f19ab32fbe9cb540542dadd654e292ef1ced74b3,user
k6_bidder_100_1,pts_0f7dbe1a2d33834d66191ec2f1f4fa2cd690fd264294256b3142a0306e405ac7,user
k6_bidder_100_2,pts_e1c3449f076b27085a4ad838fee09558bd818c079bfd534fda2aacaa43f52e24,user
k6_bidder_100_3,pts_9dbe8eb249612102e10a37a0da745a6b4dfb399d7d9d3a8bf7d8a9cf14269cff,user
k6_bidder_100_4,pts_b7a3ca2f10fa7a78b7393b3336240883c832481575303e59f6e161e0a903773b,user
k6_bidder_100_5,pts_401959d524593205a36791a87dd02a5e28f1d07adb7daa1ba4226901880bd9c9,user
k6_bidder_100_6,pts_cc8ab3563e1304b91d52fdb4219adf238dd0de29646623d10205ef3e607dc1f6,user
k6_bidder_101_0,pts_c492bdf1b6b493ec7eb7e2d71c83dc6ea98a2f29d7cbc18c16f733e173b71682,user
k6_bidder_101_1,pts_51e0e2f234f454034beae39a7b0d9f08c6a233a4a3a6d2dc3269118d279bd4fe,user
k6_bidder_101_2,pts_20d1c4ea782d022a529c39725c0b06bc42d2bfc231e2f0351828439a26630853,user
k6_bidder_101_3,pts_7a199ce72251279651176cfdc10b36f41da68c72357c45999e365838d8ea65fd,user
k6_bidder_101_4,pts_76028527df03cd7178871e35768974fb63cea49e6f743f97ae4ccc15769f21a5,user
k6_bidder_101_5,pts_e039f5a67953046d2d9c053cd7032757f82470dcd56839095c60c08497b7a3ad,user
k6_bidder_101_6,pts_5f942a120dc945ba7471b1da3575f2b356fb073a0eec6c398e22f1bcbea4a2f9,user
k6_bidder_102_0,pts_123a2ea284b61a2907351111b13cf245f99a76763a2c6f3f3404ea765f2b8718,user
k6_bidder_102_1,pts_95401214f45864bdcc8af5c060f9c675881fb27cd7e5c4ce9644b16343a58083,user
k6_bidder_102_2,pts_2a5765e3042c64b9e8c12a1e1e731939c12d08730d49e3107c8d2bbeff59b75b,user
k6_bidder_102_3,pts_5a4207e16d442c31f5817c5158106ffe8cace9d6c99452441d799854e31cb1f0,user
k6_bidder_102_4,pts_ee3d71d7845e75986edefe5fc7e89cc8ff8490d08767238c3f40cf508ed9613b,user
k6_bidder_102_5,pts_b3dcb0befe8874ae2a4b95b650a3c7b2d80bd426f1c6ca79e45f4aa09313c2c9,user
k6_bidder_102_6,pts_d1e5b8036bc92314476ca428c25e069a72f53883917400c097dbc851f2123132,user
k6_bidder_103_0,pts_6c865da4e450cc8245690d4cbf88b11b0001add81d3f6485ab420d2816de6eef,user
k6_bidder_103_1,pts_c561b7876c9cbefd6fae24e205b902ac0e9afd358e8ac19a3a944c4626669fc9,user
k6_bidder_103_2,pts_575306f46f3e346e487a0426c980740a62c039cc49dc68f4fa7b09a6fc463cb9,user
k6_bidder_103_3,pts_fbe3c6748e776d10b2708767a2db37a7f54384f99735602c60987d3f7602cacd,user
k6_bidder_103_4,pts_e760a712aeaa9a604fd8aaf892c5abf477d5da67efda45719b935d15e7480414,user
k6_bidder_103_5,pts_0eda8a386ad93855026930813a440a974322fd7da83be353a667eaef562fccaa,user
k6_bidder_103_6,pts_36eb4419218ebcee8de89442a0fceda3e8659fce8834f4bffc5d732cdf483936,user
