user_id,token,role
k6_bidder_100_0,pts_d42406505db2ef7e4ced03333309d650529b7dc37df87c497550631795f81dd7,user
k6_bidder_100_1,pts_902482a587ee1588d3d52da0abb8522cbb53d9fb8a6822b0e46f0f4ed1aeb836,user
k6_bidder_100_2,pts_f5b53fff7980e884ce0ec44949bb4c2fc62205e176d542e0e0ddf245bac80728,user
k6_bidder_100_3,pts_e7ec8b9dd9ab7f993d365d5fb7e797e06522228c778fb445a934d62a88052b36,user
k6_bidder_100_4,pts_cff92195c78c9727b0b8f183441035a8513d15ea8e807a6509e682b4b4d43d5a,user
k6_bidder_100_5,pts_b89ee36c7d83c77a5f5e6bb5f6707af09a1d6e03e1939686189c66a7e73b3712,user
k6_bidder_100_6,pts_2c48ce4c9519e30e8c058dd773aeb1ae54bc14f69037caf5b91b58e04ca9f128,user
k6_bidder_101_0,pts_09bbca4787adcdd717c43a2f13811853cbeb6f9197419609ed25f0b9508799fe,user
k6_bidder_101_1,pts_99304009409fadf1ae65c8961075bbaf151f909197b0943d8ad7188165dd7765,user
k6_bidder_101_2,pts_e66ea9a71051eec245f6577c08de2e83627bd1ef860e9ab95449b27e900b8052,user
k6_bidder_101_3,pts_92540acf264183e68f9914b54c1d3396430ed4fa522f6dbd7fd6bd16bfa71ad0,user
k6_bidder_101_4,pts_47161f8ce68969dde9038b07ddec43afcfaccb9e4e5afbe93b3659f93bd8aa3e,user
k6_bidder_101_5,pts_bb576035bc1c443351404254186139709ee43bb8ef09803d1d997d05c779f05a,user
k6_bidder_101_6,pts_30dd822ad6dd7a1c55b2841f22ebb5251a9e11b04c3561ea099b683b6a1fb2ca,user
k6_bidder_102_0,pts_54048f15fe78327d54147ccc8800e5715bc9ac2f40db057113c39e0ec359db8e,user
k6_bidder_102_1,pts_e741d4f463608da108cf53491fd40b1aa232efd404b0dfb672055bd61b76ba2d,user
k6_bidder_102_2,pts_0810b08708d4fa6368ab94d71a4cd4039450aaf9517ac0f869106d2a0a14f8be,user
k6_bidder_102_3,pts_6cbe523d98c9b57cb2e1565d66b72a68b64ddbe49b859376e36372e47e336fae,user
k6_bidder_102_4,pts_84389a7a30773314a50cce514da752fa1fbc855609a254d2d5a2a2c65816c51d,user
k6_bidder_102_5,pts_c111fb29c33f7b6492044e19c0d1201a8ddc0e14b7a9e56aad16e9e41f79f886,user
k6_bidder_102_6,pts_c6112f89737a677e452f437717c00257ac50060a9b8cd6c10a24ef0174e7698a,user
k6_bidder_103_0,pts_38c1c6e9b3a347c9e5c4f983df89250afc6337d5da72e99f65822090c83e7b68,user
k6_bidder_103_1,pts_6f3286ca77f160c83d5d7f3e379f466d54917d52e92175cb3dafada6476535c7,user
