user_id,token,role
k6_bidder_100_0,pts_599b4648355b0a0f2ff03361c240f5ea77954afcd4b600c6a2306e745ceafc78,user
k6_bidder_100_1,pts_0a429b91b96dd5d38691f1849c08b1cb3efc4d3748235657249f50429428692c,user
k6_bidder_100_2,pts_4b4c5af9537a196e0560c7487be3889aac15d982a0bb61b5ac6946a76477a3b4,user
k6_bidder_100_3,pts_8c9bfd8c4fce73cbf935e8699db493a6671a2530f35352c8bd9ec2534627978b,user
k6_bidder_100_4,pts_5626ffba9eedeb61413c4d85d0453bbb8b20a84593f22c5e5b6e4b7b586effa5,user
k6_bidder_100_5,pts_47479886482ebd06b27f4a810c36bfbd6515a8462d9bc8c1a658b2317187d1f7,user
k6_bidder_100_6,pts_0f063ed6ea7955edadd72f4375ea1972e082bb5b86a1f40d04ca1e2509b16178,user
k6_bidder_101_0,pts_13146f8a58d537a7c669a880ee77725d247af0c4e0fe397e1a53976e79f0a794,user
k6_bidder_101_1,pts_ef03e333f2f0604bf5b880216394fa2a9134d749ae9cb09ddc4a44ecfcf9904e,user
k6_bidder_101_2,pts_1593579d25d6f4d12e4b6b9de55a4a47034ef8fff557706d115538946040f60a,user
k6_bidder_101_3,pts_40cad324e65462a6df4333afb2f4891c72c39dfa14d76bc7a0b968cdab021a06,user
k6_bidder_101_4,pts_327fb1249da83dfdc91adbf999eaeacefdf647540c11b0e3b53526ad0094ffd3,user
k6_bidder_101_5,pts_2b3440bfa3207e3256a00a53aca5e644fbc56871124a1461967737f019ca4773,user
k6_bidder_101_6,pts_a9076db36192875fe7e89c8174c00fa7eca3270c2cbdffc0882033636d54a994,user
k6_bidder_102_0,pts_207cb7e7fc76fdf2313a3b386fc3937c6aca98091565ebaf2cef78d4fbcdebc7,user
k6_bidder_102_1,pts_20ba42f05ec3c3531fb938f9523bf7754966f721b989e66dc5d574ab28b22567,user
k6_bidder_102_2,pts_571fc25a2ee199979800513c45fa5360a8f0bfaa59f2d2d10104ba4dad92591c,user
k6_bidder_102_3,pts_e8bf824b822dd4ccee210d4d7e36a5189fea30b7c46626cd086dbbea215a0f99,user
k6_bidder_102_4,pts_54ea2358eeb77c5b51ab60a4b959eb596617e98646efcc035a910c439ea08781,user
k6_bidder_102_5,pts_c8034d25f5f43f12178d437ea9c9989f4d4f046e39dc32b1838540bff27afc77,user
k6_bidder_102_6,pts_23cdf3d9c0239d83802c3fc201ba93a9e38c4d78951183f971b56d20d99bab56,user
k6_bidder_103_0,pts_8e92670ad9adf6b2aef0c7af8e8962f895134df78f2e1d404669a006c09ed419,user
k6_bidder_103_1,pts_94478005822bb47663a41187ed209580d01dcdebb4e0a613c6e24a951870e36a,user
k6_bidder_103_2,pts_2f8e8c337b42b9f5bc3f1218180fd9de7616039d18d214d65c315a312a0643a3,user
k6_bidder_103_3,pts_a4c8b735db487073d5087873aa014fe339f76be9789345a942afc266bb9e5e36,user
k6_bidder_103_4,pts_3bb89eca2d086280f41f835a2a460fb0ae6645435346abebf901742a49b7cba7,user
k6_bidder_103_5,pts_b485ba8fda5950fe58884b7b7f08e76f3134b22bc6006edaf91e19fa42f1e28e,user
k6_bidder_103_6,pts_a47cbe064c4598f56e4a81fa6d3ff5128ba621514537258fb07aa5f52b4c1e34,user
k6_bidder_104_0,pts_bb32c4b4a781fd34f4c9af8b6e8d7a1639538ffdbbcfeb9068d9f618b2484aa0,user
k6_bidder_104_1,pts_6bd9cf9b15825321afc6beacc1739bd4f8ea79f537f6560acc042142ad5ef81f,user
k6_bidder_104_2,pts_9b2da424ead3a9292c90a937044b50b9f4ca9b16ef2c5f54f147669e0f2a23f2,user
k6_bidder_104_3,pts_e059d96b5b6e438a6a44f94f02f620d915213e150da2335c67c7e52e8afb6da7,user
k6_bidder_104_4,pts_0cc09b2fed6c4543cd28b30e3798d0bbb06d4599112fe947498b7c1bd23333cb,user
k6_bidder_104_5,pts_a7622e51dc7b54f90011111a73de2448a0550de0370de8ea64d45f13160c9e95,user
k6_bidder_104_6,pts_5a9ede1de37167267ba30500695a13fa76742a43191f89c3f71d3d120ad0c224,user
k6_bidder_105_0,pts_6f32611bf55105c06d066879e1775b11ee0e51aaac4418309d579138b3c1617c,user
k6_bidder_105_1,pts_955730e568e5049e878ea7ed6ef1531f68224603fae331d2f27b4f3f6a9658ce,user
k6_bidder_105_2,pts_f294ab14aa475132a8216f48d78c715056f7ac4d78fc0548d7ae5651349d0a4f,user
k6_bidder_105_3,pts_e8ce9f07100e9767824fb3a517bd1095ee1e1bcf5785cac4d2dd1b49824ccba2,user
k6_bidder_105_4,pts_d7eebbc9379a5d19a94330ff3215d9d2d7bd83ba1c8273294412309e326d07cc,user
k6_bidder_105_5,pts_7d65d86fa31ce5bea7ca49014c5f982126fffc969a550154d21fc927580f4979,user
k6_bidder_105_6,pts_ce02aaf59879f65dbb6415623b2abdf6c36666debf3c34c6228bf1b76668734c,user
k6_bidder_106_0,pts_d8f8d2fc918b5d65bb7001eaf24c6382075ebb89d1b92a2df51ab313664762be,user
k6_bidder_106_1,pts_e35657a4bfa867fec8e455f1565b7bb09cfce872f49f01fbc35702fcbdc94bd8,user
k6_bidder_106_2,pts_302e18d1b47c2f051b9b0e3a494f25861a6e26b01454062f7b396a51a019468f,user
