user_id,token,role
k6_bidder_100_0,pts_3813e9f4926cddf36d6166256de13ec2b30b3860f7c8b6552c64932c0f6e6173,user
k6_bidder_100_1,pts_7238177d0702d258f0e5493014476a74346403d8a00f995fe9ec7e9034f73149,user
k6_bidder_100_2,pts_103157e9d0b4ee09ed794759e5e0f0549821fa5a60caba4e49e620c498f0e814,user
k6_bidder_100_3,pts_68addbe31123f1b6f79feb75cb924d82f0dff3999d32388274359acfde3e12bd,user
k6_bidder_100_4,pts_f83a19dba59d3ee0f83cad51cd849faf2bc9f7eac6726636673628129b55b621,user
k6_bidder_100_5,pts_45ffb795ea6b2f3a183558df379c7c75ccf7c8d3d1425b71d81b0d266152bd50,user
k6_bidder_100_6,pts_ba8c72654efc521d424ea7488be339a81bfff1a11929eafce0a0167ada5e0718,user
k6_bidder_101_0,pts_0749897675ba3e170b89689e933d9d5cf1fcb387ddcfe86d272b5835703c10df,user
k6_bidder_101_1,pts_03503260dd0c70aa68d7da7ca6fa9127013e54eb012ff6d87801a0b5bc5132bb,user
k6_bidder_101_2,pts_2c24eea4ee336c7e4a2feea632941da8e5d4fd8ed882b1d57149cca46213eeaf,user
k6_bidder_101_3,pts_9052524924b5fd4ccae88800661d276c619cd8d00266d1a1fa2a7f39bb94ccb6,user
k6_bidder_101_4,pts_4074d6216f534e64795af1131497943ee4bf51c05475922d9561607c033d4e64,user
k6_bidder_101_5,pts_fd81c501583d15780f16ef0397d7811dfcf4371f559e5c8af6a065f4a93223d7,user
k6_bidder_101_6,pts_5b9937673ebb33e8500c84188cc85f64d0e69c58ef2ed23ecb7d31015a6af0bb,user
k6_bidder_102_0,pts_a60f054185f8ca93a3932a6b67156638f1ae146196b93ae338c95879ca1ce472,user
k6_bidder_102_1,pts_5d02e471baad6d823bc5bdd7da863efa80b558a26a8940a3299b129a4d24f73f,user
k6_bidder_102_2,pts_da84f30855f180da3fb00912f339908a82ea34c1db1e01b018a989cf74250d1e,user
k6_bidder_102_3,pts_fedd8064130b24cb76ca8497612d80d1fc63b31856c45e90ed65f1233e60a13b,user
k6_bidder_102_4,pts_24161a18c652b86bfa5a8c72c0d4bfa099d8b55793b416300f32653013761505,user
k6_bidder_102_5,pts_2468ec7036e5a90dd3cc84a0b41d6ab597f87afc6b7faf7007d6264c8286b097,user
k6_bidder_102_6,pts_df35602a8892bbf0e47f45781f64cff52c90cd3b41425df9554fbd21eb6dc610,user
k6_bidder_103_0,pts_991658df152b43fd1cd06c9b423b029f203d85c56fa0c50c6482e412d21262d7,user
k6_bidder_103_1,pts_5f151800323849d2072744655e3c9667178de9a6774fb18deadf148e917fb00e,user
k6_bidder_103_2,pts_1906f928672125cfa36d101d7778fa47b83314896c217ee5aad561c27b5bf790,user
k6_bidder_103_3,pts_5923d526a727f058c88bcd150067b273ab039a981a5331ebf2a8497161107e9e,user
k6_bidder_103_4,pts_c986414b4ce5c029582802ed661fda03a56250054d7acf26e024282291e7c850,user
k6_bidder_103_5,pts_ebe54e69c9841a9baf5f6a2de4a55cad7f99ad70050895f544bbb4232bac606e,user
k6_bidder_103_6,pts_65f5ee22730cdd6b2567399118958af0d35c051768c527e2dde654facc1b52de,user
k6_bidder_104_0,pts_f064c9581698db6899cf4131361c4a20b07895881c95d725ae2d9e6c31bad40c,user
k6_bidder_104_1,pts_cc8b87c5afe1968868deb1ead4f54edb2b4517a733f991dc047be0c183b1a4c8,user
k6_bidder_104_2,pts_7bd57b405ce3632bf480f5d2e9b6ba8b85a0bd8674de524a790b2904d831491d,user
k6_bidder_104_3,pts_1293ba506649b9848965c9fccef36df9f7d01043bf1c4aee7b8dac6d24eb1f30,user
k6_bidder_104_4,pts_c12ce257050b631106422c511356ff2496f46edee628a99c5200f2525bd339a9,user
k6_bidder_104_5,pts_0ec843219510219aad60cec982ef92161ad02c6d3ad2b44b748bc81549a19d7f,user
k6_bidder_104_6,pts_2e707f7f03b61a746d41f421556296d089d5152feec0c3c035f78cd31a05b793,user
k6_bidder_105_0,pts_e4343ab9603085d1520747fd999145c7aa762ae0b7e1c8de33c5d8dfd7b5a979,user
k6_bidder_105_1,pts_1c075c69b6388854e6fa82b939e883efff10d0e28a2fdc06d442680468d6cb5f,user
k6_bidder_105_2,pts_aa538d9ebd99a5e0514d93e4e770cf5f6b71015e5ccef9d893b5ac10c270c00e,user
k6_bidder_105_3,pts_59ea31a6e06eda3f4c390c43c97e82a38a08c0273b9fd869a023a8ad1cef98fa,user
k6_bidder_105_4,pts_d87c221b7cffd2c9ea70a7dd7965b50cc5579caad856c408bb2eda9ddc1b4d97,user
k6_bidder_105_5,pts_b8291bb4ae23e3439ff7ba51468a20aab771b1047db748327aee375cf0b66b27,user
k6_bidder_105_6,pts_ebad121317495ed5671b4bf3025fd86dc51c6b4cff7658f5f67fac2aa7aa643b,user
k6_bidder_106_0,pts_c59521ca357ae66bebc19f56da77d503913b83e495cd339d98e59a75e2b33b01,user
k6_bidder_106_1,pts_d4751eea69cbfdc84a3737bea09b8b812e373470c349cdbbf31d99de55cad9c1,user
k6_bidder_106_2,pts_0ba7e32ed5e0f2ad1bded819234b30292c2df7c25f5fc275326be64e75371dbd,user
k6_bidder_106_3,pts_7c940a33c403656ab391b0d13a5292da194062ec292bc4d7cb273d3bb272709e,user
k6_bidder_106_4,pts_c20d9da7676b04a7b36e30a493ec75df2032d4bef5d78fc7650cd275191b1282,user
k6_bidder_106_5,pts_8880cb76a0de023e9c81290c0427a68de297e3dd97afa226ecb5e2a9bbec9051,user
k6_bidder_106_6,pts_72974c08c3024f29ee6f994c768389e38dfe5b947c6479a1170f27e0e0d955c9,user
k6_bidder_107_0,pts_2e1f2d5d5e5b6601f748e2bf34b67a6502ae8a51eefe428330e02aa4bcb6bfe7,user
k6_bidder_107_1,pts_aa4405ee3f07e0d1d5f1e6c510878b4f42945f04617c8185574089b0dddc3eba,user
k6_bidder_107_2,pts_a0cc6bd2d15499e42c7be2899a5d727d7e44412a6bbc760aec5d80ecc4085913,user
k6_bidder_107_3,pts_a8b627ab094ff945378a354d713fc841f02e8294e7857224eed9adde71e3c0b1,user
k6_bidder_107_4,pts_5e20262491dd72235e835a64edd6c2b7cf0b27b1f8d6a0de48f332984bc8fe55,user
k6_bidder_107_5,pts_51e5c46f2f727e02698b0a4afac2eff4383328cbebb2a21338a8c69f354cb2b5,user
k6_bidder_107_6,pts_aa70b2d2c441744be73b10c4c94aeaa0b74e880140ba3b3267e4f596d16eef03,user
k6_bidder_108_0,pts_060f697adfc2df0232852ee67a1a2f5c2c545f0e532b633791b725eb5de97947,user
k6_bidder_108_1,pts_413fb7fd37de640b1a0b07cded0a846c1a48be152c27c5f615cf0455ce762f66,user
k6_bidder_108_2,pts_0eb1b6843dc3fbb46700f7bf0f6b31030d07f3a403ce85892864ec6ffbf57f24,user
k6_bidder_108_3,pts_f498b347b66ced9e6553cd0d3b294d2b3b482e225b48a222d441d53476f8a5ca,user
k6_bidder_108_4,pts_922211a75461236485014f4083ece712feaf03399660d3bd0acbddc6dce3ff55,user
k6_bidder_108_5,pts_8b4bbeeb382404c089ec8ab8f8269fa6c1aa2b26f54cdeaad7c7fc3704f02f5d,user
k6_bidder_108_6,pts_46ceecd8b1a141642aba1fdd9b7e78a604cb0ca0cadec1598dca806670f558cb,user
k6_bidder_109_0,pts_fdac531ec794299ad9f87ad4507ef96b2b76b0b6c71d6deb2d504d06689aad9c,user
k6_bidder_109_1,pts_5605b10aed62877a9ffd5ec8dcb8acedcc98898dbbade4f62cf05372faed2abf,user
k6_bidder_109_2,pts_116c3b9cf91565fc77337d086192a763edfbfc3163eb30e5362fad5a8584446d,user
k6_bidder_109_3,pts_c35691d4dc2420b07f726336e32a03306dfcb674211bd85f24a7646d7326b280,user
k6_bidder_109_4,pts_13c1ab2178e02d1c7b19172c058ac66748bc021e3358a137bfcfb08545f09c90,user
k6_bidder_109_5,pts_5a4850df4dad049f283c69941f790e3cfc5d1934c170ca8fc8713c237611af46,user
k6_bidder_109_6,pts_b6d0a686f416df15275d9339056359b7d8b3d52254f4f8db8ed941f8d214ce27,user
k6_bidder_10_0,pts_f89736880488c40bc7bd20ee101bd20d60e3c359446ecd9823a002125156639e,user
k6_bidder_10_1,pts_f0b183c7d8ad7254450775b6f7f900f86fdcfbef2b68d85435de0cc2068aae5b,user
k6_bidder_10_2,pts_837e865d387933388c32606a99b825bbb35521fbf8be3006f919e5a89b7e923f,user
k6_bidder_10_3,pts_6300d18fa382ead11bb9a37bbcd666bcf6d0763d24f2e81e9ae9245b7102e3ce,user
k6_bidder_10_4,pts_4342a4d92e3c409348bfe718836389f6a86b5f8df17cc166451b92e2fecc0d85,user
k6_bidder_10_5,pts_d22551ec1363b20ec8c446ce01493e1bb04b5d615d8d625b853475d157c6c577,user
k6_bidder_10_6,pts_4ba3c5560b0677036ced82ddf3d4681d4d5a19ad0da8bd1fdea8bce8702af279,user
k6_bidder_110_0,pts_6229c7f32ec4fc2c5c88778028f0f6aa6a9c1b4c3d3741b12648c94dac345daf,user
k6_bidder_110_1,pts_bebb15ef9aed74d7b529468066606dce18934aa3c24a80b6123e28be2537d160,user
k6_bidder_110_2,pts_aa21d4d81119449c479a2a473628177c7bfa0738e1d608bdfec69e63c29ec31d,user
k6_bidder_110_3,pts_59ae5614dfc6dbb858382496e1d1419006593a1f8a3f6f0c796410a31ba55d6d,user
k6_bidder_110_4,pts_b8775ea17da10e17a66fdb2f97bc53d0e9b339b8d75b4d694590b47835807ca0,user
k6_bidder_110_5,pts_71fb26c711e4e6854fe378b4f8479438c0b4916182f371e35c43a4bf986e9f2d,user
k6_bidder_110_6,pts_973019bcce645723d39dbb9306fb245b7c313b810668e1e02b14131c23e03659,user
k6_bidder_111_0,pts_7b4ace663a3af3aadc2bc61cc48f0c534df7acc28a0ffcf63011d8c7a0ae1b0d,user
k6_bidder_111_1,pts_70a2f42048e67813e36ba382f67a5374d088451066e83400c27ad775e60018ae,user
k6_bidder_111_2,pts_3c88107434040a9c95c41d6071744f93646da8cfafd719fe34ff2ae3b89da744,user
k6_bidder_111_3,pts_89ffe59c71b85627cbdcb43f12b9289aedcaa384a49588ffc322c6eb8e132c08,user
k6_bidder_111_4,pts_a596aa47897f7857c39ff39347728cf23f5287cd566eb82e189404824c8acca1,user
k6_bidder_111_5,pts_fb71505e04b6ba161041b7d0b52deb2f03cdf3a39fdbe623321136b1291a0e64,user
k6_bidder_111_6,pts_e2047f5f07d0097b8a327fa446661dd9d474231f17fd4ebfbb556452cb3035c7,user
k6_bidder_112_0,pts_85ad9d8ae04f627eaa4750a98c19eb8651df6c0ee73ae8181a04370d0f2cd570,user
k6_bidder_112_1,pts_26aea4693e5bf6d9985e7746e317832577f7a1e2b439c885c9ba396cb7e68c11,user
k6_bidder_112_2,pts_e2b0ea26c1a189fc0da8dea18797b7feea9d5e46f6ebabe088d16995721a8434,user
k6_bidder_112_3,pts_41be5cdae711957775e951080796ecdb5f00877cbd843e9746948ea50920209a,user
k6_bidder_112_4,pts_c0a5fae0396a71cbc48b46c61ac9c0cd431ba82f180fa26c39ee44e8c8aab9a2,user
k6_bidder_112_5,pts_73bc43bdffaba439c5919b22dbca34e4776115256861a451d604e4f7f8c33476,user
k6_bidder_112_6,pts_9479339c3d805df7d453d160c0eea8ce0de48c6e75c7a46c12583591bf6aeb3e,user
k6_bidder_113_0,pts_672dad4cc7d8559d4716f7cad2c8a43db719b29cf4ca07aa9c0839029115d0a6,user
k6_bidder_113_1,pts_e86b3a8b53eafed3a3454f949788895b0f4f7fb93dd53a5e647b4c3a914e0350,user
k6_bidder_113_2,pts_cacd525dfc6c289bf3f8e90055ac44298ecc22eae3750a7de24cb83524600181,user
k6_bidder_113_3,pts_0a8971a4cc363983282692e134060a5b54d620d05051e9e08a75e617488465cd,user
k6_bidder_113_4,pts_4f0e43577dea981f859a38816d90abd1add51879223c18bedb980393be72d03f,user
k6_bidder_113_5,pts_f3e409b99e08da6c03342255133e0f974cda271a2fbb8179bd6aa375282a9ec7,user
k6_bidder_113_6,pts_c87b4ac7405a0a780676cef506827997f68a1ee77d052120f3958566d2b9723e,user
k6_bidder_114_0,pts_8365ab9387558c1bb4d5583c7d6ce86d7e7ad120eb7b11cb71a9298a1b05746c,user
k6_bidder_114_1,pts_5ff8a87ef12b1e2fa6277ce747173c68a72c3ed4b859b36afb24b93cb3431f77,user
k6_bidder_114_2,pts_cd71a39fdacb21a5c82b620167481924761287198bc6e185a953f5cf97c828db,user
k6_bidder_114_3,pts_932d89e83ffdea972b40baa805c98870558bee7c059d0f793eedb15a77b32604,user
k6_bidder_114_4,pts_abbbdc63a86bf7ebc5c273efd45cb92bd31be57e44b1dfdec238218a52bda32f,user
k6_bidder_114_5,pts_3f917aee73e51a9f72c061f1aff077a5bdeb88b24137f3b84c839e4154278c49,user
k6_bidder_114_6,pts_de7fceff77d5a4706cc565c08920ecf420d329e97973a526e596fbbeee2debf0,user
k6_bidder_115_0,pts_6e2dce4f2e06a39e0a569f691a09d744c99ea80a7f841ce6401024d5ebac7b80,user
k6_bidder_115_1,pts_7301d8c5540ec048d5e3776f7816b70a54022cfe9af2f632984fb9479ab240a0,user
k6_bidder_115_2,pts_6d1da2056e8053c0b707e1fe7f2478a63dbd78ca6c8e975fa10da4d0ea6ab2c1,user
k6_bidder_115_3,pts_3c48301377d7f69fe1cdd74c84c5cc03bb0ba21570ecd58a184e4d538cbaece3,user
k6_bidder_115_4,pts_6cb2b0072426549841e53afe79593e7f63f9bccb2701519f9c2a624a24af2a11,user
k6_bidder_115_5,pts_9c11f227d7e23f0520b254eb20fb58a54c88b5a91b9cdfe4bf8f10d4ae21e20e,user
k6_bidder_115_6,pts_2a6379eedfe5857e8cfb73ebfe9461bd2469ebad8a5e2e493e4fd221538daf03,user
k6_bidder_116_0,pts_e5fd053522c994dde887bddb58a1d04125b0c24bc73c3c5a8ece8be38dd35c0f,user
k6_bidder_116_1,pts_da51d3e7787a2cc9fea509d308d5e20a9424be59e6668da9e6565c350bab94b5,user
k6_bidder_116_2,pts_1cc58aefbeaac3b03ae2ded17fdfa14efe0293591def375f97cae51f60471584,user
k6_bidder_116_3,pts_7395056bc4b3d491c827d7c04b24ba47f9830778cc9cfca720de610b2291be23,user
k6_bidder_116_4,pts_27481dff084e3217b87206e1258f44d9b4368285e28afb0e7fe899c69e99f8f3,user
k6_bidder_116_5,pts_db3e4ba47481d83a2d9af6b93f2fc3598d1b0c3614b1d64c901d0b1bffc10c1e,user
k6_bidder_116_6,pts_a023f252f32cec49e336a11535f1e81de9e9bfe28c512009a90514175b9c3a00,user
k6_bidder_117_0,pts_25e3cdf280e2cea5f478222a9d331cd32bfeb3f66762667ed330123085a1bd4a,user
k6_bidder_117_1,pts_18ea8f432b24fda88803ff4404ac27bd7ead8e85cc3e30345ae701d4c21878c8,user
k6_bidder_117_2,pts_4b7f78cef3dde21293514e837cbe27e0f8c430a04bc7f85a491373083526aab9,user
k6_bidder_117_3,pts_c1dc803e5546fb7df3cb1554ff9c3a1d3e2d915c1728521a0d18a1efadb3b74a,user
k6_bidder_117_4,pts_b47be8b750c8e6bfa8ccd3c4eb58cec19cbc03c435e99f0f43f075fb967a25e6,user
k6_bidder_117_5,pts_58b326bf166fb6a336a6d004932795d2b6740ce7b381414a8d27b844b435b9e2,user
k6_bidder_117_6,pts_8bdd1031eb3233842f18c29679b6a6f251614fdeb60e279ead78669e23336d55,user
k6_bidder_118_0,pts_333777e1bd00441a6d15b06981071a310d560b5ff3806ff0bedfd5612ebcb3de,user
k6_bidder_118_1,pts_8304451d82ee6b8b1b27a6ae79c900d810fec93281056837975ff7d5bfcdd57d,user
k6_bidder_118_2,pts_cc420110af01bf121dd1846d684e615a19389d943db247ce3d7a35b502693365,user
k6_bidder_118_3,pts_dfe77fd5e6d26a9876eb44416578f30cc420c7c0c09206b888177c2714d708ec,user
k6_bidder_118_4,pts_e5c9ea42b381f0c2327f689e9cb73313bea1ce451e12fb393b90c2cc7672896d,user
k6_bidder_118_5,pts_15e129e880123b50608115cbaf994df78739950c565da8de53e3da9d3c158e64,user
k6_bidder_118_6,pts_827496b42cda770427e299ecb8a19856600abe22ca9d02e309d7bccc9a84d6d4,user
k6_bidder_119_0,pts_6af999fd313f5e832fdfcf07761623c231418ccbaf6b87b81fa069c26f13aa5e,user
k6_bidder_119_1,pts_8e1cb81e9887ef33ad3a2292b62c786655104235028034323024cecc4f3f3564,user
k6_bidder_119_2,pts_390e700b5ce3690c324970397cc9c46bed99d544ef61665ef424e658e83e150b,user
k6_bidder_119_3,pts_3f7f7a012c7b12fbd33059503721b17bee4786c9e1e988d5cfc9a05ed8127e5c,user
k6_bidder_119_4,pts_7d6c0e400eac08edb92ca0b72b28521d4e52806140597d48e3dd1b73ca9d0efe,user
k6_bidder_119_5,pts_0867c6942a8e05081c16aa5ea0af3e83e789fa7358342cb53fbec239880140f2,user
k6_bidder_119_6,pts_d070833d64f7838e5a0a7e038b5c2065328adaf5be00a9fc4f0503fa7ab779a9,user
k6_bidder_11_0,pts_7ad0c0d1d6d28aa70e2da3fca5b0251807078d7274841cbddcc89fe00d8d5b2e,user
k6_bidder_11_1,pts_48abd36311f72243198121f5c46df5412f3c1186e98cbc7f89b21d756095fac7,user
k6_bidder_11_2,pts_e978f3bfae80f54bad992c159c474a4dfefc2d05e9210610c6a22d6185ce120f,user
k6_bidder_11_3,pts_ec9809100ec7236066250dd475c63978c361756f0dc3f4d14356565d66c99e59,user
k6_bidder_11_4,pts_dca7ec2984a2050c24ed37e4c632987a378aa72af373fe4805baa350bfd274fd,user
k6_bidder_11_5,pts_f57334e6f1fec3548ff05eea76f2931280b29e175fde6a4aa944b27f5c1265f5,user
k6_bidder_11_6,pts_8de76203dd1fc5a69fbbcb0e715ec52c4d0c6a7d6a86d21e01f1325e26556a4a,user
k6_bidder_120_0,pts_7d5cba91c6630798dc3cd7c14baacacc2356d84911a47b2fc697037d7c3b387f,user
k6_bidder_120_1,pts_7ad5934608e10209ea40ba660f8d50321e54c79def0c3c323c2a6bad4c465ca3,user
k6_bidder_120_2,pts_b278ed446b12f05cbfe278ff86783fb360dc77dffdb029c9e8858f198e22a3bc,user
k6_bidder_120_3,pts_9fceaca3d82aedd14c769404c92e8473c5e7d17686a541ba0d9d5a48f50e3784,user
