user_id,token,role
k6_bidder_100_0,pts_2ce38c13c849076a0dfd30280bb27405bbb1127a2435596012117b9a34ebef49,user
k6_bidder_100_1,pts_d0b4daf6de1cdbd46578fdf0282980021dfb8d6ee46ba5c45ba726af7c536176,user
k6_bidder_100_2,pts_7b81266ac2c6472380195a776c92e53c53697b963c3c66b7b697de6444f02cae,user
k6_bidder_100_3,pts_0b3afcc5c1cb22edca0635186272647444f02b1107903883a76d3dba94adb461,user
k6_bidder_100_4,pts_230853a814de5426608c6cc954289e60727f3a85043e059258a79415f8c2bd4b,user
k6_bidder_100_5,pts_6581c8d1e4655ef24aecb89c01822e26304a319bebcb6003ba723bf4937645cf,user
k6_bidder_100_6,pts_08004312599bc14dcca448ef93b083ed54333b280f8bfe38cf77cc6f32528b03,user
k6_bidder_101_0,pts_906721b3d1e5db9cbe82706f67ed2ebf878e4b5f7c0315a5b8d04b6eef2ed347,user
k6_bidder_101_1,pts_2772394ebd11d707065984e606656c6c2fb71398b26a696977c25167d8d3c377,user
k6_bidder_101_2,pts_e40540596764b88537191b51fd81bbebd752d768057b519334c78020b85d163c,user
k6_bidder_101_3,pts_4b46477cd9f6e9a4af29601c674d6c605127e25cf775bf11dfe52c37dc7a978a,user
k6_bidder_101_4,pts_192d8b7b4eab62d92528b55881f0602e6da784c3f2cf4b56420cd8f89c107ed7,user
k6_bidder_101_5,pts_1ec340b4780173a3e391d2a57ad1e26a7ee13a52a8a08d81f99bb0444d42ab32,user
k6_bidder_101_6,pts_3a7af2c4066b91ee63e14de0d52aa74015b93faf1e185a2a46b2bb6133a1dcfa,user
k6_bidder_102_0,pts_c88c6aa93e1ee7289e6d4aa929314f02a77348a95aa02f21058a1651eb6f8193,user
k6_bidder_102_1,pts_6335a9b3b021a82c0dd15f62e672aa5f8083f0792ec936ad5c18fa4cc12d4206,user
k6_bidder_102_2,pts_c2203e9ad4ea59eb54b4ef95b919b60885ef871c6a087a5b95795178315b6fb6,user
k6_bidder_102_3,pts_b52d44536bedd6ee6c147778022f5de4247b28043693c4f609a96002bd376b84,user
k6_bidder_102_4,pts_463d28c5c8e64c2c147d9fcf2abec19b70d8d7b761ad0fbdffe35213953d94c9,user
k6_bidder_102_5,pts_51e9862d09d0f5c834267d9fd369f9e99e25bf67419bd7c17c455d1d00ffe1aa,user
k6_bidder_102_6,pts_7d605843b57d81f4244251afc173f5d61bd7d257e5547c7c7132dbbac438ce6c,user
k6_bidder_103_0,pts_ef24661dd4d0737d8c5cbda36c5687a816df60044e1116ed1cfa790fdcbc3134,user
k6_bidder_103_1,pts_d3738facba51e6c131299c1dd8dce01ecc08ce7e7e85e97a67afec41a6495414,user
k6_bidder_103_2,pts_15ef9623fe2425339de00f95ce4a39cff59a38785e8984ee42c6f613bc88e688,user
k6_bidder_103_3,pts_adb296c55aa741e5bc6f369d71b9087abc2ee9f533abcd776af76ba76246c109,user
k6_bidder_103_4,pts_45d52fb48d404749987c9aeab9361941193536a17e2c3917fb830857edc4bd54,user
k6_bidder_103_5,pts_6afe4de3088fc11b5260696fa39c49e181ce20c13ce1c05ace032549004e8493,user
k6_bidder_103_6,pts_54dc832bb5eaff146046b03179a75aabd58164075db78bee2c01ec6b95d5a6f8,user
k6_bidder_104_0,pts_d68a063650fed954b624a0a54832c3d852a2a66f29a36ac0c1673c0fbf420b2f,user
k6_bidder_104_1,pts_cb1119f2c8ddea1a5fce42454f359c694076fa35830bce70407c149703253484,user
k6_bidder_104_2,pts_0bef1f881783a2760f1812366447d9656db7359fef807671adafb586b8a73d0b,user
k6_bidder_104_3,pts_cbf3c3f201289b702592afc1c9af2670e3fe6e20994ac4c575e047dcb1b2663d,user
k6_bidder_104_4,pts_437002de8a57b291f267678ecc367a8fde297749cb48d491883eef119f6cd2d5,user
k6_bidder_104_5,pts_66800e53b3cbd78b987e75623842b40f681c4e5dba9a0c2c2dbd7cfb4f7e7a5b,user
k6_bidder_104_6,pts_2871da83da3ad4673b19d5fc5d20657155dce29cc44ab13ef7982048400ed982,user
k6_bidder_105_0,pts_e960012325dfdee95f06c0f24438ab69a3e83b955bdcf17302686a433f27b84d,user
k6_bidder_105_1,pts_0767775dc9ff4208b8f4be945c862a15c6547b0742d29617c5aff210965dfb97,user
k6_bidder_105_2,pts_864f0d51ed5512b10eefe8895ae0f23f4e80d0e75f21e63c3847d84e0d30cf73,user
k6_bidder_105_3,pts_44dfb4a728c905f6056f3c55251474034d1ea41498257af63a1a967ab2966488,user
k6_bidder_105_4,pts_22ff082cf360f74e02002a1a3b0f8413b7b946424d06252950c38c4a64d8340a,user
k6_bidder_105_5,pts_038a1cedd236848d91891e1b6b9b07891d059ee1e98b3fed9132c943e8327a65,user
k6_bidder_105_6,pts_67d91f61e276066c7dd41e120205a1fab90209d47edbe5f85e80b80ba7894f56,user
k6_bidder_106_0,pts_d93f12d855bde90eedad525046adbcb0b15e7f9982e2d7530045a0d27e1b884a,user
k6_bidder_106_1,pts_a7cde9d9c7e5ebe4057dd4c9ace2492dfb5bed30e674755e1836c9cdaa1aed3d,user
k6_bidder_106_2,pts_374519b23ec8a2097f654bccc614517fe3694cdfc953159524e79ed6f0ecbe60,user
k6_bidder_106_3,pts_3838a4928c11da2d163822ad91807531085082e13aabaca484ceb6711c46185d,user
k6_bidder_106_4,pts_d4d6491b0128f50a451797619239fb022fb235a0808f658e0b37034f19089f39,user
k6_bidder_106_5,pts_18b6329b01ba290babf4b2ebfcc80779217342dea842add7adeb79cfdf604e5c,user
k6_bidder_106_6,pts_bd1f87c8ee975548b7d013c4d6f7e9f4065e2fbb3ff2c512758e6945ff21501d,user
k6_bidder_107_0,pts_a2984dfaafe4ad1c244923b0959c2a3f9af27fd5e84eacf6ad41d3c35d2494be,user
k6_bidder_107_1,pts_72ce8ed1840e81d229a0c5c7a05f7a3aa3f1fafae1ad7a425ff493e581cfe966,user
k6_bidder_107_2,pts_e19a5bc0ca9aa3b98ca000231e8ba90bdbaa4d77d6723b0e705ec44569721bb2,user
k6_bidder_107_3,pts_f92139626ca3b32d14da38f95c1796a9ff77f930fcf142c01175948bba216ea5,user
k6_bidder_107_4,pts_cfb16df2d0e463f75d6768a63ab8ecfd23faee2044ea39f351c8e717eee999c3,user
k6_bidder_107_5,pts_8a34ec1d8a2b7ee99ed00c83e64b2e61569aa0fada5a61cbd71040ac159c706c,user
k6_bidder_107_6,pts_0ef68dfcd808ade145bae2105a4d3b7c60ee8422dbd259c25b0da1419478b051,user
k6_bidder_108_0,pts_314eaa2bdbbd97dc10a0f02e84f789b30056005382a870833c1233156d4bf023,user
k6_bidder_108_1,pts_ad252c220445184a57764a5216d85149b2ee4b24588808d51ef19dffc9cce0f0,user
k6_bidder_108_2,pts_b5e92d92b3e9ab175d03d6a61693a644c395c8fa0b05f595a2c97fb834db55d5,user
k6_bidder_108_3,pts_7ca7ee0e5d839bec0a9c1a79ce30e2552ec48e4a2365ff91e516641381144fde,user
