load_role,user_id,token,role
viewer,k6_ws_1,pts_c63f77ef84781b60c7a1ce5ee6aaeb6c782f40f867d63c58148d0c3f459e7eee,user
viewer,k6_ws_10,pts_f942012e42fe930d52fd38e02ca2ee6db02824ec273c7a853cf51baf27c15eff,user
viewer,k6_ws_100,pts_fb254fc7e5fc21ffef109056dae173e7588d06459f77ef5a409e11fb683b4da4,user
viewer,k6_ws_1000,pts_82bbb2434fc8667e74d4ee4a768d2a5da94b4ce4c763ea8232a7fe64f6bbf8e2,user
viewer,k6_ws_1001,pts_8c440250b841ea935a5bbe8fbc72ae7dd22743b7411e6129ee45a668810ac534,user
viewer,k6_ws_1002,pts_34462ee529f16febd43bfb60c2552e5f8b1f87d6007d272028f4d4bba9f863c9,user
viewer,k6_ws_1003,pts_3f353efcd7483771a7a95e338aa2e94a0a2f491892f0b15b63365447fb1d73b1,user
viewer,k6_ws_1004,pts_1707a24c8f9521ee839dc589088cfae8c6b77a07ad14ab98a5f5b71ec5211d4b,user
viewer,k6_ws_1005,pts_1000d1badf8ee951b48c05040e9303a31b9746513ca6c93fde47b7847a5dd982,user
viewer,k6_ws_1006,pts_29a1f77566f252f606bab5ccf74fc6953345cb33787f7a47e4067d5d01b99c1e,user
viewer,k6_ws_1007,pts_3246654df90c0d099e40c8af90c695a1ac96de15f49f529e26647fe372fc3791,user
viewer,k6_ws_1008,pts_a6e5977d3d1ea98e31d2a9796a817d0046e5e2274e92df249b5e1dfd94ea2c6d,user
viewer,k6_ws_1009,pts_94104cd56645c8634086c422661c70a11767e8029e1a2d01ade07e728e367d9e,user
viewer,k6_ws_101,pts_bcb7df480042cc38eb7e04b472bf34c3b68244501a4071d56a710f806d9d80c0,user
viewer,k6_ws_1010,pts_c0855198d28576c6591773d4debf10c0fbe3570b06ff9c71baccd90bf72a4520,user
viewer,k6_ws_1011,pts_495c5905b9e71dff7c256ba7422af864cba505acf35ad10ee4c73381853ca7fb,user
viewer,k6_ws_1012,pts_e4c07924466b7d01b28eb82225d1a739dda933551945948ba2d516b509b37e48,user
viewer,k6_ws_1013,pts_9a87c898766da81f1afef960abcbbbdc1521ca275b7c414570d233496090c1ec,user
viewer,k6_ws_1014,pts_fd427630f33e50177be805d735a1bed45a3a39502ef198907b51c2e863457cd9,user
viewer,k6_ws_1015,pts_870e3500082a0f12a92a50ddeb3691be5b80b627a00e022e9d3a6788d29ac4f7,user
viewer,k6_ws_1016,pts_070cc7f4f732aa3a8260cd16dd4572b554c72399cbc5b69b0602db7c9e6ec5fc,user
viewer,k6_ws_1017,pts_f86ef701d75a52002402d5dbc869b8428b607581e2b020bc48d8b0b11392772f,user
viewer,k6_ws_1018,pts_149148138abed7258e8f50471d58336b46d3b19c0cf221efb0bf1d17ecda3242,user
viewer,k6_ws_1019,pts_d70328ec0507951eaaf482eb46e9dccdf8f77aaf561d4d2943d84342e39d4bae,user
viewer,k6_ws_102,pts_548872895b9ee30bf99311f5d38a45388a09cafedc2a632b3f7807c4cbabffc0,user
viewer,k6_ws_1020,pts_b364acdd4c234047ed029aeccc86ae53579c56b54c18e5cc13ea985fd1974d0f,user
viewer,k6_ws_1021,pts_65753e2b2a0a41a6d9203f6e78e6b4bfd5258b09dc317a30d2c0939b80245afe,user
viewer,k6_ws_1022,pts_ace44aacf5351ba4205dbbc8d99efd44e4c57bf9dcb6d774200cb674cccb4c97,user
viewer,k6_ws_1023,pts_18639fb9c917550ce11d42ba44376008614ae9535b15430379f5523c43ae6911,user
viewer,k6_ws_1024,pts_9ffbba8f25099f6d0cf8c30b85b5baa70524dce13e9f2ab3173b19b945199230,user
viewer,k6_ws_1025,pts_67da07fc43fda68beacadbf380f63efb447a2dd5415ecb0ca4735cb077d4de31,user
viewer,k6_ws_1026,pts_4128a14a35214fa40fb22d00adaca26c340c80bf3a64bbad3aa0bd2e29aed0ec,user
viewer,k6_ws_1027,pts_b7225f7ee72f8bd9c578b7554f8065bff83f0291276bb61c9c8e49edbef7acda,user
viewer,k6_ws_1028,pts_96a3f62b769c4a05ff36752682ae05780cc4fe87f15c446f0cb732f29649dd39,user
viewer,k6_ws_1029,pts_6a1f8ff7f7cf003c47315a786a0a4863978480f4575fdcbfe2b002f76103e05b,user
viewer,k6_ws_103,pts_009bc4501556b0e8ccb56c4e99f37f556b07f96c2eb6394ab1db9a1b02d1fe68,user
viewer,k6_ws_1030,pts_7062db5a202abec32c45f270287905abfee0c893ceeecaea0cfeede3a8067e3e,user
viewer,k6_ws_1031,pts_d7ceb1063c7857f2f08dc5a5fd1869f2d21bf414a29729f60f5ed321ce1b7344,user
viewer,k6_ws_1032,pts_ad4dc22b4357a0623cf90bcd54fcefad13911b2ab5e55e67502bcadc933c98a5,user
viewer,k6_ws_1033,pts_2bf0e53d1b23e72f9c937be28be8c27766c192568343fdd5d827d5759d539cff,user
viewer,k6_ws_1034,pts_e287929a2942783145ca4a7ae1af0aefebb43ec215683da928529ecfb6b96d7d,user
viewer,k6_ws_1035,pts_89f9a2e0b5fb1671b5fd5977e7bc28996c48dbdb80ea1162388e24fd09ee1f65,user
viewer,k6_ws_1036,pts_87849aa34b0eca43f0e2a79a5ed74a5166201e1806b7f6f631bcd2ff11e5237b,user
