load_role,user_id,token,role
viewer,k6_ws_1,pts_9b2af05268fc783a9135b9b7f72da6ebaf1f1e73dafe50e5ef29649c00794b9b,user
viewer,k6_ws_10,pts_dae09f56fefed13288d160a25ac72b98d7e86b0578ecbfbebcfb965ef505a7cd,user
viewer,k6_ws_100,pts_a5760c0374278d0ffaa84653838b024c68ec9fa0c47a247d38c6b79b44d6d1e2,user
viewer,k6_ws_1000,pts_d2e5677cbc0bcb4a00d73c68ebbc42564dc18ea8de1f62ba5877c0794ca42e32,user
viewer,k6_ws_1001,pts_6dd54cfc1a66debeabf1861b56cfaefd70b63d072668e768444c41e2b99d543f,user
viewer,k6_ws_1002,pts_4231288b2144c3c0c56ec5674ae5a53a6dc23d6265d738cfa256ac56d15fb42b,user
viewer,k6_ws_1003,pts_1b83f9e07d6cef7b4baaeceba384805eacbfb2dc0daa21126156e65c20ec0fb9,user
viewer,k6_ws_1004,pts_360f1f215fda2feb072b016abebabc89979e04329b2b1db1e784eac4d3699c4e,user
viewer,k6_ws_1005,pts_674051ca08c2e2e98c97e66f10f82593cba46fa71cdae9fc61818722f5d82530,user
viewer,k6_ws_1006,pts_d26324657bb1795c24a6246ee32d270044643523d287283b317c8c9f2b818fb0,user
viewer,k6_ws_1007,pts_4ccee528c29cc6e790f5577ccb9679c96422cfdbf766ce8986f07d6e1a076995,user
viewer,k6_ws_1008,pts_c8c33d03bd639dddd41331255f4dda149ca7fa8aa7a33382281f1b6c345b7fe2,user
viewer,k6_ws_1009,pts_e5f4f19c8cf9c23cb8a9a0a5b9e75693d76ca7a31b66167bea7568c27f993fa8,user
viewer,k6_ws_101,pts_7c87dd6eadb325d107865b6ef3d267de76d5f0fb7f22e758ff1d74bd3df097d1,user
viewer,k6_ws_1010,pts_03056e58dc134111e34f6fa6afd650cb7b5deea0f5ec28f4728977de5b94b30b,user
viewer,k6_ws_1011,pts_6072690528e66b48bf0aa50345ed57e772ef06ba25f3af097481c57109b37b02,user
viewer,k6_ws_1012,pts_698c0980656fbd9c16a8d6b77942daffc50a35744f7b938894312fa0fc890503,user
viewer,k6_ws_1013,pts_ee1e7d9c475c3319272517e26e3d23063376bd97e471b45801ae2b80ac61d4b3,user
viewer,k6_ws_1014,pts_e61cf695ec6b3e6e48106bea58623324cbbb8230632b60479f44550c288167ab,user
viewer,k6_ws_1015,pts_d54260f13bc511b3f191e077848ed14b4bf0634568224d93dbee00dcf68e369c,user
viewer,k6_ws_1016,pts_039b854050a57076ce0f0ef75aca4fa3abc5bf75e2aefcd223a626f73799297c,user
viewer,k6_ws_1017,pts_673f7ce7bbe28ee3c53d4ff65df640f841dfca083541442c985fb331174992b8,user
viewer,k6_ws_1018,pts_34026cd6d5dec5e5ddfd8cb44c088874ae9ee864c23778e122da807144f9d81b,user
viewer,k6_ws_1019,pts_f08e1856eb07e533621a183efe2131d95780a6aa0849e94801963d8b8c505401,user
viewer,k6_ws_102,pts_dc2542a2a3f36153f6b3abc4abafdc65a79ec5eaccaf23a6eff5b59728736de3,user
viewer,k6_ws_1020,pts_528bee71d615286a8d44045d8e2c9d5625e96d50ffb420c448aac2349ad692dd,user
viewer,k6_ws_1021,pts_25fffb342f3787d6c97039f13d57e6f2d2ebd1794db5dd4a2b4fe734544389dd,user
viewer,k6_ws_1022,pts_7f6257983767fb35f8ff7878e36e736d16db961b6890428bf5c70ab8aa2c9254,user
viewer,k6_ws_1023,pts_046ab419097769e39d201bd0140bad6cd11dd855543a8a08eed2795ee55adeb8,user
viewer,k6_ws_1024,pts_67ec6bc549b2628981f0409bb1e0f62736cd052b41793cc2bd40e795b6fb775c,user
viewer,k6_ws_1025,pts_6ef2e6c1eddeb6a18e5bafabb7e120b13dc33127cb5e47c44eb80b79228a7583,user
viewer,k6_ws_1026,pts_75d1e529d59b5cafcfb3f1db171b4246b8671dc27f80e0f75b0603c50b1d528d,user
viewer,k6_ws_1027,pts_236bbf495f8a507cb7642d674befe281dcf9fea426ea81e6b2c6b80c68e99602,user
viewer,k6_ws_1028,pts_49c55fd193efbb260a949dc3d8049e1271305671bfed65836a425d869e1df883,user
viewer,k6_ws_1029,pts_fcaacdd0c310fecf18644a71e403e0608f617f8ac6e2db4ac6c7c6769a65a0ef,user
viewer,k6_ws_103,pts_b35345167959311c3ced592267eab8d6548b0d29ce503663b56c5715952686b9,user
viewer,k6_ws_1030,pts_d6fddf45e182a3966dc6231b9f07a9e666d6e5d558b0dd3c1c787560d0618cad,user
viewer,k6_ws_1031,pts_4b6fcc6be3d0be4df6809536ab34ba251337b5e49e99e8e3dce554a36a25ef09,user
viewer,k6_ws_1032,pts_0b495936be007af5e3cf573075869430ae71a040cfeca9665ff8cab2d1725d26,user
viewer,k6_ws_1033,pts_43bbbe9a553ff35b56a5f84290141bc48010e10d37d3edf071f17b4441927dad,user
viewer,k6_ws_1034,pts_0a10735bdd875991f567982a3b9c68a47932d6133aa9274c21f5eafc93e00ce9,user
viewer,k6_ws_1035,pts_536df697e61e5284c0a239abad579f9de202140bf60736976541e5de2b454a22,user
viewer,k6_ws_1036,pts_3435c4aceb8070d984c915844e1b25d0f66a8840476f31344408cc5a5a5b47c7,user
viewer,k6_ws_1037,pts_e7122464de27525f235ee0ef9ee6454f33d52160619fe52f7b2d0f38bb2e0465,user
viewer,k6_ws_1038,pts_d000d2091cebe82831afc238293563c8e1130190d50a05ab7fad5cd0794515d3,user
viewer,k6_ws_1039,pts_72924175e58ff4a992e03463f4a40d39383ed983d1ab583d2533f9fbc40b33a5,user
viewer,k6_ws_104,pts_8a7568a43a83c48501f39071b96b578e7d81303f7ed4638b73e4c43977078541,user
viewer,k6_ws_1040,pts_f1e4a4e6120f101ba37065486ec0e5e4371b4a264fed13260ca56ae729d1f8a6,user
viewer,k6_ws_1041,pts_25be44cc78a47719aca8c3e9513a0d943f8f0d1ff2e3ed9945d082bcb3ab898a,user
viewer,k6_ws_1042,pts_3a4fc92724e9399d2685e3463b481bcb7f609600c1adf9d2dbbc92be68973202,user
viewer,k6_ws_1043,pts_14c1ee2406218bb5a3923bb2fb6dd46dd3dab0683a1b1440672d058ef9e80851,user
viewer,k6_ws_1044,pts_5561fa0090582494eb7f559ec37a4f04c550d99489637d08bbbb85e5b5b8c19e,user
viewer,k6_ws_1045,pts_689f1da3f8b57da35a390972a3f8d75161b3ab8981de51778498b7256bbcb8d0,user
viewer,k6_ws_1046,pts_eaa3a90418ead5f4b1ea105be68c50cb98a04ad9063c4498625f77f2ce190a64,user
viewer,k6_ws_1047,pts_4136683f220c40cd61990ab856c08f5f38685f21c10af2bcf699baee54525f1b,user
viewer,k6_ws_1048,pts_e3aefebedc3b9cd37b23e9b0eb508cdfb8529f878a740cae26ebce7118f7e031,user
viewer,k6_ws_1049,pts_763fe1bd444d81c54108262abbab8ed0005706471e5d6273a9ad91a1cc5d8f5d,user
viewer,k6_ws_105,pts_7395ce66dab7ba9e32447de093a3b4fbb21e3da96e29c0a5a70f861bf0cead3f,user
viewer,k6_ws_1050,pts_170ee898f7c80e86fc47b0d5fd345d0cbb2963293efecf5dc9b2b66abfc366b3,user
viewer,k6_ws_1051,pts_dcfbdd61bd0bb5feb9fd891e1e1e1fe027ba39ed1c40b5b656e505e8e111fea2,user
viewer,k6_ws_1052,pts_ed92b5f877f558b20b35d8d50f65dd63d392bd7c8b830b632783e231de22a2ac,user
viewer,k6_ws_1053,pts_3256df6770a50880b86912d0d280010405e70482944ed9dc787685e50c061f04,user
viewer,k6_ws_1054,pts_ac2adee3fad6330ace0610dca613e7d09928d6f71c1099c408c4207051563e27,user
viewer,k6_ws_1055,pts_d450a2544a078819164c83c20d06fd24ca0e6035495d5bb1c213084d5a4f7f75,user
viewer,k6_ws_1056,pts_2f85e777c283334e9addf8f3ab6131abfd48946d00d26ded60218129106d1661,user
viewer,k6_ws_1057,pts_d21ea4bf5c742f8eceb2b985c160c948e6280fb418450411cffab3b39955816b,user
viewer,k6_ws_1058,pts_49f2ad382f407ad5462460ae29c4d125b2571937b683da8784a3fd0bcc4b67fe,user
viewer,k6_ws_1059,pts_84c86eb39b7853f2fca3654ddb4279b192865c0fc2bbd1d7333c496cfc7e687f,user
viewer,k6_ws_106,pts_c3a503885e61506be3aee1dc5feb6615e655c66273de202ba11899e28bceace5,user
viewer,k6_ws_1060,pts_e3b1874ed455b9b098ed47c9d56b49836dab2bd174966ad29bb64ac316e876da,user
viewer,k6_ws_1061,pts_4ea93adbc2089b82ec758403f95b7ab1714c2b71a9892e5687bf8def7dfab270,user
viewer,k6_ws_1062,pts_31478b472df8084b7c65417bfda0a8e9952e892fe788a59aa7663a8af1fce35e,user
viewer,k6_ws_1063,pts_a8ca0d7c484f1bdfc85b199866d687c5f457d0ab171a91d155648c196caec159,user
viewer,k6_ws_1064,pts_c1f4474b6b64516a129d2ba08ec913933078f685f0ca267b2f16d8ce6ac9b26d,user
viewer,k6_ws_1065,pts_2f7592f92fb35bcceb5f7985689b56e157bd0957587c7140e9fb4c415533bc61,user
viewer,k6_ws_1066,pts_300f29e53c3d3bb8dcd69b2112623d493322ea33b75b1d21d947d533890e764a,user
viewer,k6_ws_1067,pts_bf22f4d672b56b879cf513d7612fb481e3177850cdd5aa84a66f12eb171916b5,user
viewer,k6_ws_1068,pts_329836080bbf872da3338245ae544a9d32b29d15da4bc7de7c2040128793d631,user
viewer,k6_ws_1069,pts_8c4e28df134b414af82477ba997f8712189489c720c92fa6868dc1d1e766985f,user
viewer,k6_ws_107,pts_19b65b364921446aaf2ea78ce9e0582228d0288d3fd968f5e817cb07b3c1c2da,user
viewer,k6_ws_1070,pts_71c6859c88a22dc551b7a7592915ed0d0385fe2d779948d116c3b24c1aa9c342,user
viewer,k6_ws_1071,pts_c95ced5d27781bd21a57d27e50172f98c8d8dfd072a6e753e532f04b39e7f1b4,user
viewer,k6_ws_1072,pts_dc7af537bedf150808c3f2525837d3f43cadf5b5a623008b7077a4f2f0be04bd,user
viewer,k6_ws_1073,pts_90f5bc48c7ef46b2c82e18a9450d96907984c2bffeafad38c47f69a019c4f41c,user
viewer,k6_ws_1074,pts_012fc65dc2f36d5da7c59289247563a259929f52d72ac6af45c7b92c208fc074,user
viewer,k6_ws_1075,pts_391f56319c038a6f0d66c2fa85ecf3521d1564c8ba7d65120b48fa122a0a96a2,user
viewer,k6_ws_1076,pts_f545c206676db836f63b835d9d86848b897f719168f15be5e991a3581109ebb2,user
viewer,k6_ws_1077,pts_05d473597e348c086c125e361d4bd2c5c2349609384381099b417ac24bc95156,user
viewer,k6_ws_1078,pts_dbee4e23c524b176dec1d82262f2dd8a277bb3e3c25bc4afad37992e99023d6b,user
viewer,k6_ws_1079,pts_1da224f1d8e257d5670ab8aa67e0a7a5e1536dc813d455027c3b71bfb3e976c7,user
viewer,k6_ws_108,pts_7aca39702439a6161931b19f123e3ab4935caacaae3f42be53468c0611a171a7,user
viewer,k6_ws_1080,pts_e78c2bbe7c79158d530d2552e5a7d0c3930e95506bbdc301598b3180cfce8f42,user
viewer,k6_ws_1081,pts_35a9b8c89d88f4f3d57eacbe1cd3e70a9833357a7c95a0e7aaa95ea47d3999f3,user
viewer,k6_ws_1082,pts_79a46e9b905b6eeba8c745d45c7fc4e7176f46c5b947e5684e0ea49c55247477,user
