load_role,user_id,token,role
viewer,k6_ws_1,pts_9b2af05268fc783a9135b9b7f72da6ebaf1f1e73dafe50e5ef29649c00794b9b,user
viewer,k6_ws_10,pts_dae09f56fefed13288d160a25ac72b98d7e86b0578ecbfbebcfb965ef505a7cd,user
viewer,k6_ws_100,pts_a5760c0374278d0ffaa84653838b024c68ec9fa0c47a247d38c6b79b44d6d1e2,user
viewer,k6_ws_1000,pts_d2e5677cbc0bcb4a00d73c68ebbc42564dc18ea8de1f62ba5877c0794ca42e32,user
viewer,k6_ws_1001,pts_6dd54cfc1a66debeabf1861b56cfaefd70b63d072668e768444c41e2b99d543f,user
viewer,k6_ws_1002,pts_4231288b2144c3c0c56ec5674ae5a53a6dc23d6265d738cfa256ac56d15fb42b,user
viewer,k6_ws_1003,pts_1b83f9e07d6cef7b4baaeceba384805eacbfb2dc0daa21126156e65c20ec0fb9,user
viewer,k6_ws_1004,pts_360f1f215fda2feb072b016abebabc89979e04329b2b1db1e784eac4d3699c4e,user
viewer,k6_ws_1005,pts_674051ca08c2e2e98c97e66f10f82593cba46fa71cdae9fc61818722f5d82530,user
viewer,k6_ws_1006,pts_d26324657bb1795c24a6246ee32d270044643523d287283b317c8c9f2b818fb0,user
viewer,k6_ws_1007,pts_4ccee528c29cc6e790f5577ccb9679c96422cfdbf766ce8986f07d6e1a076995,user
viewer,k6_ws_1008,pts_c8c33d03bd639dddd41331255f4dda149ca7fa8aa7a33382281f1b6c345b7fe2,user
viewer,k6_ws_1009,pts_e5f4f19c8cf9c23cb8a9a0a5b9e75693d76ca7a31b66167bea7568c27f993fa8,user
viewer,k6_ws_101,pts_7c87dd6eadb325d107865b6ef3d267de76d5f0fb7f22e758ff1d74bd3df097d1,user
viewer,k6_ws_1010,pts_03056e58dc134111e34f6fa6afd650cb7b5deea0f5ec28f4728977de5b94b30b,user
viewer,k6_ws_1011,pts_6072690528e66b48bf0aa50345ed57e772ef06ba25f3af097481c57109b37b02,user
viewer,k6_ws_1012,pts_698c0980656fbd9c16a8d6b77942daffc50a35744f7b938894312fa0fc890503,user
viewer,k6_ws_1013,pts_ee1e7d9c475c3319272517e26e3d23063376bd97e471b45801ae2b80ac61d4b3,user
viewer,k6_ws_1014,pts_e61cf695ec6b3e6e48106bea58623324cbbb8230632b60479f44550c288167ab,user
viewer,k6_ws_1015,pts_d54260f13bc511b3f191e077848ed14b4bf0634568224d93dbee00dcf68e369c,user
reader,k6_user_1,pts_305665cd53038b8a65ada35be5af5e0c00458c78477945be485ba73a7973bba4,user
reader,k6_user_10,pts_8d3e7649c70809c953ad64fe0234404d4268ff89741799309fd7adf38c922c9d,user
reader,k6_user_100,pts_3b184ab965b6076a92ba70ebcb41b5b0e2294e4eba5f4b8902b3182f23f42aa3,user
reader,k6_user_101,pts_a4641b7e1c7d7327065b795f2031c41df7509a9a7ae142cb0c3d8e9bb5e67074,user
reader,k6_user_102,pts_6ab1d8a19a114d92208dc84c66b524da1402eed18eea306e70a474ff47b9c2f6,user
bidder,k6_bidder_1,pts_292c3852a710a3d90c2c17d727681826160448abf848cd50dbef735565f1825b,user
bidder,k6_bidder_10,pts_89d69d30bf064bd64d83a9f4e01b223e546b0296431f84fcc002e6924a2861b1,user
bidder,k6_bidder_100,pts_56eb2d052049e48c92ad33192ddd80021cd0fd83ad046afe4a1580a79e9ce11c,user
bidder,k6_bidder_100_0,pts_6268fba2946b24524712e0129e7408d7d24f445aa1e601295e169f2d15478226,user
bidder,k6_bidder_100_1,pts_26965ae7f9985eaf79ee2c526081c9f89e2e3792e52c935e9725f380839bdc54,user
